ID,碑名,建立年,所在地,災害名,災害種別,伝承内容,緯度,経度
01202-001,遭難犠牲者慰霊碑,1975,北海道函館市川汲町2085番地（川汲公園内）,昭和48年集中豪雨（1973年9月24日）,洪水・土砂災害,昭和48年(1973)9月23日夜から24日にかけて、渡島半島南部は集中豪雨となった。旧南茅部町（現在の函館市北部）では、総雨量383mmという記録的な豪雨により河川の氾濫、裏山からの出水、土石流、裏山崩落などにより、国道は寸断され、住宅などの建物が倒壊（全壊16戸）し、死者8名、重軽傷者11名等の被害を出す大惨事となった。,41.891005,140.96034
01204-001,美瑛川治水竣功記念,1958,北海道旭川市西神楽南１条3丁目,昭和22年8月洪水（1947年8月15日～16日）,洪水,昭和22年（1947）8月15日～16日の豪雨は、大正4年(1915) に次ぐ約30年ぶりの大洪水となり、尊い命が犠牲になったほか家屋の浸水、田畑の流出等の被害が発生した。,43.681137,142.390215
01208-001,樹霊供養之塔,1959,北海道北見市留辺蘂町富士見,洞爺丸台風（1954年9月26日）,その他,昭和29年（1954）9月26日、北海道に襲来した台風15号（洞爺丸台風）は、一夜にして道内の広い範囲で立木をなぎ倒し、森林に大規模な被害を与えた。中でも層雲峡地帯北見富士山麓の被害は甚だしく、世界林業史上例をみない風倒木を出現させた。,43.655015,143.164773
01212-001,留萌川激特事業竣功記念碑,1992,北海道留萌市南町１丁目,昭和63年8月洪水(1988年8月25日～26日）,洪水,"昭和63年(1988)8月25日から26日にかけて、留萌川流域は350ミリを超える豪雨に見舞われ、流域各地で越水、氾濫した。被害は、住宅浸水3,376棟、道路損壊74か所、土砂崩れ62か所、道路・JR等不通、農地被害623ヘクタールなど、市内全域に及んだ。",43.929455,141.672708
01230-001,親子地蔵尊,1962,北海道登別市片倉町,昭和36年集中豪雨(1961年10月6日),洪水,"昭和36年(1961)10月5日から降り始めた雨は、翌6日午後になって特に山岳地域で集中豪雨となり、午後5時過ぎに登別市内を流れる全河川が氾濫し始め、濁流が渦となって市街地に流れ込んだ。登別市内では死者4名、行方不明者7名、全壊20戸、流失27戸、半壊17戸、床上浸水1,009戸、床下浸水3,218戸などの被害を受けた。碑は避難中に犠牲となった親子5人を慰霊する地蔵尊である。",42.412925,141.087312
01331-001,光明寺寛保津波の碑,1742,北海道松前郡松前町字建石7番地（光明寺）,寛保津波（1741年8月29日）,津波・火山災害,寛保元年7月16日（1741年8月26日）、大島（渡島大島）が突然噴火し、同19日（同29日）早朝に大津波が襲来した。この津波によって松前弁天島から旧熊石村（現八雲町）まで被害を受け、溺死者は総数1467名、流失倒壊家屋は791戸に及んだ。,41.425119,140.091059
01331-002,泉龍院寛保津波の碑,不明,北海道松前郡松前町字江良435番地（泉龍院）,寛保津波（1741年8月29日）,津波・火山災害,寛保元年7月16日（1741年8月26日）、大島（渡島大島）が突然噴火し、同19日（同29日）早朝に大津波が襲来した。この津波によって松前弁天島から旧熊石村（現八雲町）まで被害を受け、溺死者は総数1467名、流失倒壊家屋は791戸に及んだ。特に大島の対岸にある松前町字江良地区の被害が最も大きく、約450人が犠牲となった。,41.546423,139.993074
01333-001,復興記念碑,1976,北海道上磯郡知内町字小谷石,昭和48年集中豪雨（1973年9月24日）,土砂災害,昭和48年(1973)9月23日から25日にかけて、強い集中豪雨が道南地方を襲い、特に24日13時からの1時間雨量は133mmを記録した。この大雨による土石流とがけ崩れ等で小谷石地区全戸数の40%にあたる100戸が全壊又は流失し、死者4名、行方不明者4名の被害が生じた。碑には当時中ノ沢上流から流れてきた自然石が使用されている。,41.532718,140.421013
01364-001,山津波犠牲者慰霊碑,1963,北海道爾志郡乙部町豊浜,地すべり(1962年10月17日）,土砂災害,昭和37年(1962)10月17日、乙部町豊浜地区、八雲町熊石（旧熊石町）相沼地区間にあった旧国道沿いのトンネル間の崖が、約600メートルに渡る大規模な地すべりを起こした。地すべりは、路線バスを押し流し、死者11名、行方不明者3名、重軽傷者14名を出した。碑は、昭和48年(1973)に、現在の豊浜トンネルが開通した際に現在の位置へ移転した。,42.055199,140.075362
01367-001,時空翔,1998,北海道奥尻郡奥尻町字青苗49,北海道南西沖地震(1993年7月12日),地震・津波,1993年7月12日午後10時17分に発生した北海道南西沖地震はマグニチュード7.8と日本海では観測史上最大級で、激しい地震の数分後に大津波が押し寄せた。奥尻町では地震・津波・火災により198名の尊い命が犠牲となった。碑の土台は押し寄せた津波と同じ高さまで盛土されている。,42.054945,139.44972
01367-002,慰霊碑 ,1997,北海道奥尻郡奥尻町字松江23-1,北海道南西沖地震(1993年7月12日),地震・津波,1993年7月12日午後10時17分、奥尻島を襲った北海道南西沖地震による津波により多くの人命や家屋が失われた。その恐ろしさを後世に伝えるため建立した。この慰霊碑がある初松前地区では34名の尊い命が犠牲となった。,42.07197,139.470127
01367-003,慰霊碑 ,1997,北海道奥尻郡奥尻町字奥尻309-2,北海道南西沖地震(1993年7月12日),土砂災害・地震,1993年7月12日午後10時17分、奥尻島を襲った北海道南西沖地震によって大規模な斜面崩壊が発生し、ホテルなどの建物が一瞬にして飲み込まれた。この慰霊碑がある奥尻地区では観光客を含む31名の尊い命が犠牲となった。,42.175529,139.516119
01367-004,慰霊碑 ,1997,北海道奥尻郡奥尻町字稲穂107,北海道南西沖地震(1993年7月12日),地震・津波,1993年7月12日午後10時17分、突然奥尻島を襲った北海道南西沖地震により死者・行方不明者を合わせて198名もの人命を奪った大惨事を後世に伝え遺すため建立した。この慰霊碑がある稲穂地区では18名の尊い命が犠牲となった。,42.2521,139.5585
01429-001,水難溺死者供養之碑,1899,北海道夕張郡栗山町角田42番地（方田寺）,明治31年洪水（1898年9月6日～8日）,洪水,明治31年(1898)9月6日から8日までの大雨により夕張川をはじめ周辺河川が一斉にあふれ大氾濫となった。角田の低地帯は一面浸水し、92戸の家屋が流失、82名の尊い命が犠牲となった（境内立ち入りには方田寺の許可が必要）。,43.029453,141.810944
01459-001,大正大爆発丸谷温泉遭難者慰霊碑,1975,北海道上川郡美瑛町十勝岳望岳台,火山噴火・泥流（1926年5月24日）,火山災害,大正15年(1926)5月24日、十勝岳大爆発に遭遇し、この地では3名が一瞬にして山津波に巻込まれ死亡。温泉はもとより、施設とともに潰滅した。,43.443839,142.651317
01459-002,十勝岳爆発記念,1963,北海道上川郡美瑛町十勝岳望岳台,火山噴火（1962年6月29日）,火山災害,昭和37年(1962)6月29日、十勝岳爆発により、宿舎に宿泊していた5名が火山弾の直撃を受けて犠牲となった。碑には「昭和三十八年八月八日この碑を建設するに当り当時殉難の五氏を慎むと共に山岳無縁物故者の霊を慰む」とある。,43.44748,142.64995
01460-001,遭難記念碑,1927,北海道空知郡上富良野町西2線北31号,火山噴火・泥流（1926年5月24日）,火山災害,大正15年(1926)5月24日、十勝岳が大爆発した。山腹が崩壊し森林が倒壊、積雪が溶け火山泥流となり富良野川沿いを流れ市街地へと押しよせた。この災害で100余の人命を喪失し巨万の財物を滅尽した。碑の台石は泥流によって流されてきた転石をそのまま使用している。,43.490169,142.483111
01460-002,追善記念碑,1930,北海道空知郡上富良野町西6線北28号,火山噴火・泥流（1926年5月24日）,火山災害,大正15年(1926)5月24日、十勝岳が大爆発した。積雪が溶け火山泥流が発生し、144名の尊い人命とともに、家畜も大きな被害を受けた。泥流に呑まれ犠牲となった馬25頭、牛3頭の供養のため建立された。,43.488687,142.443012
01460-003,新西国三十三所　観世音菩薩,1930,北海道空知郡上富良野町中町3丁目（大雄寺境内）,火山噴火・泥流（1926年5月24日）,火山災害,大正15年(1926)5月24日、十勝岳が大爆発した。積雪が溶け火山泥流が発生し、144名が犠牲となった。大雄寺周辺にも泥流が押し寄せ、庫裡の床下が泥流で埋った。犠牲となった方の追善供養のため、この地に、三十三所観世音菩薩が建立された。,43.463154,142.464987
01460-004,遭難記念碑,1926,北海道空知郡上富良野町西町1丁目（明憲寺境内）,火山噴火・泥流（1926年5月24日）,火山災害,大正15年(1926)5月24日、十勝岳が大爆発、積雪が溶け火山泥流が発生し、144名が犠牲となった。この碑の台座正面に銅版が埋め込まれ、遭難死者144名の姓名が刻まれている。,43.461367,142.461922
01460-005,十勝岳爆発惨死者碑,1926,北海道空知郡上富良野町栄町3丁目（専誠寺境内）,火山噴火・泥流（1926年5月24日）,火山災害,大正15年(1926)5月24日、十勝岳が大爆発、積雪が溶けた火山泥流により犠牲になった144名の慰霊のため役場裏庭に建立された。数度の移転等を経て昭和63年（1988）から現在地に安置されている。,43.464556,142.464652
01460-006,十勝岳爆発横死者血縁塔,1927,北海道空知郡上富良野町本町2丁目（聞信寺境内）,火山噴火・泥流（1926年5月24日）,火山災害,大正15年(1926)5月24日、十勝岳大爆発により犠牲となった無縁仏12名のための血縁塔として建立された。碑の裏面には法名と推定年齢が刻まれている。,43.459938,142.470387
01460-007,『泥流地帯』三浦綾子文学碑,1984,北海道空知郡上富良野町西3線北28号,火山噴火・泥流（1926年5月24日）,火山災害,大正15年(1926)5月24日に起きた十勝岳の爆発は、残雪を溶かして泥流を発生させた。泥流は144名の尊い人命を奪い、開拓以来苦難を乗り越え、血と汗によって築いた沃野を一瞬のうちに泥田と化した。惨事を風化させず、復興を成し遂げた先人の偉業を称え、被災の地に建立された。,43.480822,142.463694
01487-001,追悼碑,1972,北海道天塩郡天塩町字川口8413,積丹半島沖地震（神威岬沖地震）（1940年8月2日）,津波,昭和15年(1940)8月2日、神威岬北西沖を震源地とする積丹半島沖地震（神威岬沖地震）により、天塩川口は2メートルの津波に襲われ10名の命が奪われた。,44.892261,141.739951
01552-001,慰霊之碑,2007,北海道常呂郡佐呂間町字若佐,平成18年11月竜巻（2006年11月7日）,その他,平成18年（2006）11月7日、佐呂間町若佐を一瞬にして竜巻が通り過ぎ31名が負傷し、新佐呂間トンネルの技術関係者9名が犠牲となった。住家は全壊7棟を含め41棟に、非住家は76棟に被害があった。,43.982602,143.705023
01559-001,水天宮の跡,1984,北海道紋別郡湧別町北兵村78-1,明治31年洪水（1898年9月6日～8日）,洪水,明治31（1898）年9月6日から8日にかけて全道的に発生した大豪雨は、各河川で氾濫となった。湧別川の増水は4.6mに達し、現在の紋別市を含む紋別郡では1273戸が浸水、29戸の家屋が流出し、13名の尊い命が犠牲となった。この碑は、この大洪水で大被害を受けたため、兵村の安全を祈願し、この地に水天宮を祀ったことが記されている。,44.176785,143.580346
01581-001,平成30年北海道胆振東部地震厚真町慰霊碑,2021,北海道勇払郡厚真町京町37番地（つたえり公園）,平成30年北海道胆振東部地震（2018年9月6日）,土砂災害・地震,平成30年（2018）9月6日午前3時7分、マグニチュード6.7の北海道胆振東部地震が発生した。厚真町では、北海道観測史上初の震度7の地震により、明治以降最大規模の山腹崩壊や人里を襲うかつてないほどの土砂災害が発生し、37名の尊い命が奪われた。石碑の外輪は地震発生時刻を示す時計を模し、太陽をイメージした黒い円盤には、反射によってお参りした人々の「想い」が投影される。,42.721991,141.8768
01602-001,頭首工竣功記念碑,1969,北海道沙流郡平取町本町135-5地先（河川敷地）,大正11年8月洪水(1922年8月24日),洪水,"大正11年(1922)8月24日から25日にかけて台風の影響（降雨量約350mm）により沙流川が氾濫した。日高振興局管内では、死者38名、負傷者13名、家屋流失228戸、家屋浸水1,136戸、田畑浸水約3,800万平方メートルであった。碑の所在地では、導水門やその取水口（頭首工）が流出破損するなどの大きな被害を受けた。",42.611159,142.139335
01604-001,水害遭難者之碑,1956,北海道新冠郡新冠町字高江489番地先,昭和30年水害（1955年7月4日）,洪水,昭和30年(1955)7月3日から4日にかけ強風を伴う豪雨により新冠川が氾濫した。下流域の市街地は濁流に飲まれ、家屋流失44戸、全壊14戸、半壊26戸、死者27名等の被害を出した。,42.367367,142.306686
01609-001,震嘯罹災記念,1933,北海道幌泉郡えりも町字えりも岬170-9,昭和三陸地震（1933年3月3日）,地震・津波,昭和8年（1933）3月3日未明、三陸沖で発生した地震による津波が幌泉村（現えりも町）を襲い、えりも岬地区、庶野地区を中心に大きな被害が発生した。津波は3回来襲し、3回目の波高は14.2mにも達し、死者13名、負傷者56名、家・建物の倒壊90棟などの被害があった。,41.935186,143.241825
01609-002,震嘯罹災記念,1933,北海道幌泉郡えりも町字庶野524,昭和三陸地震（1933年3月3日）,地震・津波,昭和8年（1933）3月3日未明、三陸沖で発生した地震による津波が幌泉村（現えりも町）を襲い、えりも岬地区、庶野地区を中心に大きな被害が発生した。津波は3回来襲し、3回目の波高は14.2mにも達し、死者13名、負傷者56名、家・建物の倒壊90棟などの被害があった。碑は倒壊の恐れがあったため平成9年に補修され、説明板が整備された。,42.041485,143.29268
01610-001,静内川治水記念碑,1992,北海道日高郡新ひだか町静内真歌42-5地先（静内川左岸緑地公園）,昭和30年水害（1955年7月4日）,洪水,昭和30年(1955)7月3日夜半から降り続いた豪雨により静内川流域の堤防が決壊。翌4日午前7時に静内市街地全域が浸水し最高水位3.8メートルに達するかつて無い規模の大水害となり、死者2名、重傷者7名、軽傷者16名の犠牲者を出した。,42.336139,142.380495
01649-001,浦幌川災害復旧改修記念碑,1978,北海道十勝郡浦幌町字常室51番地10,昭和50年洪水（1975年5月17日）,洪水,昭和50年(1975)5月の低気圧による降雨は、連続雨量が171mmに達し、浦幌では大正11年(1922)8月に次ぐものであった。折から融雪後期の出水とともに浦幌川が激流となり、家屋浸水90戸、田畑流失・浸水1250ヘクタール等の重大な被害を与えた。,42.867629,143.66879
01649-002,浦幌川流域災害復旧記念碑,1990,北海道十勝郡浦幌町字活平231番地1地先,昭和63年洪水（1988年11月24日～25日）,洪水,昭和63年(1988)11月、道東を襲った低気圧による豪雨は浦幌町で152mmという記録的な降雨量となり、異常出水となった浦幌川は、氾濫、決壊、河道変動をもたらし、家屋浸水34戸、農地流失192ヘクタール等の重大な被害を与えた。,42.986483,143.634541
01663-001,十勝沖地震・チリ地震津波災害　復興記念碑,1963,北海道厚岸郡浜中町暮帰別東1丁目233番地,1952年十勝沖地震（1952年3月4日）　チリ地震津波（1960年5月24日）,地震・津波,昭和27年(1952)3月4日の十勝沖地震では浜中町に流氷をともなった3m余りの津波が襲い、3名が犠牲となり306戸が被災した。また昭和35年(1960)5月23日のチリ地震津波でも翌24日に12回にわたって津波が襲い、11名が犠牲となり534戸が被災した。,43.082128,145.114819
02202-001,百沢土石流災害伝承碑,1977,青森県弘前市百沢字寺沢155-4外,土石流（1975年8月6日）,洪水・土砂災害,昭和50年(1975)8月5日から7日にかけて東北地方は大雨となった。8月6日、岩木山山頂付近で崩壊が発生し、土石流となって蔵助沢を流下して百沢地区を襲った。この災害での死者は22名、住家22棟が全壊（焼）流失した。碑の近くには、この土石流による転石や犠牲者を悼んで建立された示現堂（慈母観音像、礼拝堂、資料館）がある。,40.61969,140.344875
02203-001,震嘯災記念碑,1933,青森県八戸市大字湊町（館鼻公園）,昭和三陸地震(1933年3月3日),地震・津波,昭和8年（1933）3月3日午前２時30分、大地震が発生した。その後、海のかなたから大きな音が響くと瞬く間に大津波が襲来し、一瞬で多くの命、財産を奪った。この昭和三陸地震の災害を忘れることなく警戒と予防に努めること。「地震海鳴りほら津波」,40.527713,141.521888
02205-001,津波之塔,1984,青森県五所川原市十三北口（十三湖水戸口の北突堤脇）,日本海中部地震（1983年5月26日）,地震・津波,昭和58年（1983）5月26日11時59分、日本海中部地震（M7.7）が発生し、突如襲った大津波は、十三湖河口で釣りをしていた6人の尊い命を一瞬で飲み込み惨事の湖となった。この地震・津波により死者は104名、死者のうち100名は津波によるものだった。,41.037835,140.322973
02207-001,津波の碑,2014,青森県三沢市三川目四丁目145番地552号,昭和三陸地震(1933年3月3日)　東日本大震災(2011年3月11日),地震・津波,平成23年（2011）3月11日、東日本大震災によって三沢市は７メートルを超える津波に襲われた。2名の尊い命が失われ、家屋188棟が大きな被害を受けた。この「津波の碑」には、東日本大震災記念碑と、昭和8年（1933）3月3日に発生した昭和三陸地震の震嘯災記念碑から移設した碑文が設置され、震災の記憶を後世に伝える。,40.680658,141.428508
02207-002,震嘯災記念碑,1933,青森県三沢市四川目三丁目,昭和三陸地震(1933年3月3日),地震・津波,昭和8年（1933）3月3日午前２時30分、大地震が発生した。その後、海のかなたから大きな音が響くと瞬く間に大津波が襲来し、一瞬で多くの命、財産を奪った。この昭和三陸地震の災害を忘れることなく警戒と予防に努めること。「地震海鳴りほら津波」,40.698865,141.423989
02321-001,大然部落遭難者追悼碑,1951,青森県西津軽郡鰺ヶ沢町一ツ森町字崩ヶ沢,雪泥流（1945年3月22日）,洪水・土砂災害・その他,昭和20年(1945)3月22日深夜、前日からの長雨により山岳急斜面の雪土が崩落し、赤石川上流の流れを塞ぎ止めた天然ダムが豪雨により決壊し大きな雪泥流となって旧赤石村の大然集落に押し寄せ、20戸あまりをことごとく押し流し、死者88名生存者わずか16名の大惨事となった。,40.671582,140.145577
